DO,PH,CONDUCTIVITY,BOD,NITRATE_N_NITRITE_N,FECAL_COLIFORM,TOTAL_COLIFORM,WQI clf
6.4,6.9,18569,1,0.27,40,277,2
6.6,7.3,45,0.6,0.39,228,940,2
6.9,7.2,42,0.5,0.18,151,774,3
6,7.3,92,1.7,0.56,256,597,2
6.1,7.2,59,0.7,1.04,181,311,2
4.5,6.9,1190,0.7,1.17,218,388,2
4.2,7,69,0.6,1.04,240,420,2
6,7,5569,2.2,0.68,473,1894,2
7.3,7,34,1,0.27,234,927,3
6.3,7,44,1.6,0.32,487,1876,2
6.4,7.2,49,1.4,0.23,362,1357,2
5.9,7,3272,2.2,0.62,330,1284,2
4.6,7,65,1.7,0.28,631,1937,1
6.5,6.9,4650,2,1,340,1573,2
6.5,7,42,1.4,1,249,1221,2
6.4,6.4,45,1.2,1,142,376,3
6,6.1,56,1.2,0,136,438,3
5.3,6.8,99,2.8,0.79,106,523,2
6.9,6.7,66,1.8,0,93,205,3
6,6.6,67,1.5,3.69,168,398,2
4.9,6.8,9107,1.6,1,208,614,2
6.6,6.8,15525,1.1,0.06,149,347,2
7.1,7.5,46,0.8,1,239,1097,2
6,7.3,432,1.2,3,3,78,2
6.1,7.7,328,1.2,1,3,211,2
5.8,7.8,707,0.6,0.85,2,1100,2
6.1,8,674,0.9,1,2,1260,2
7.3,7.3,164,2.3,1,115,336,2
7.6,7.4,122,2.4,1,223,834,2
6.5,7.1,95,1,0,156,212,2
6.5,7.1,56,1,0,30,79,0
7.5,7.8,237,1.4,0.89,8281,18918,0
7.6,7.6,3688,2.3,2.66,19264,32918,0
7.3,7.5,82,1.2,1.58,15816,17512,0
7.5,8,202,1.4,1.89,11771,23191,0
7.3,7.9,232,2.9,2.23,9026,30836,0
7.4,7.9,246,2.3,1.9,1850,3900,0
6.9,8.1,3960,2,2.26,19058,22523,0
7.2,7.8,201,1.3,1.59,29937,31034,0
7.3,8,221,1.2,2.26,16103,5289,0
6.7,7.5,1088,1.7,0,194,474,2
7.2,6.5,73,3.1,0,19,59,2
6.7,6.3,98,3.3,1.5,21,74,2
6.3,6.5,143,4,4,38,124,2
6.6,6.9,260,5.4,1,17,53,1
7.1,6.3,71,3.5,1,24,82,2
6.9,6.3,65,3.5,0,17,52,2
7.3,7.1,607,3.6,0.88,33,104,2
6.1,7,446,5.2,0.56,26,77,1
6.9,6.4,94,3.2,1.59,20,65,2
6.8,6.8,451,9.4,0.55,22,58,0
6,6.6,169,3.9,2,22,84,2
6.5,6.7,187,3.3,3,32,113,2
5.5,7.2,636,9.7,4,1328,4975,0
4.7,7.3,1088,23.8,4,28250,56000,0
5.3,7.2,689,11.3,4,1350,6025,0
4.9,7.3,1267,23.5,3,24750,54250,0
5.3,7.4,852,13,4,13775,26750,0
4.9,7.5,977,16.5,5,12375,30500,0
4.4,7.4,1256,24.8,6,25250,55250,0
4.8,7.2,1021,20.3,4,22875,43700,0
5.1,7.3,971,14.8,5,2125,8425,0
4.6,7.4,1284,24.3,4,21500,50000,0
4,7.4,1096,26,3,31750,57500,0
4.4,7.3,1002,21.5,4,21000,43750,0
5.772926829,6.9,910,13,0,2200,1554.5,0
5.772926829,6.5,930,15,0,2200,1554.5,0
5,7.3,997.855814,33.9,0,2200,1554.5,0
5.772926829,6.7,960,18,0,2200,1554.5,0
4.8,7.6,295,0.8,0,4,9,2
7.1,7.5,293,1.3,0,9,19,2
7.1,7.5,316,1.4,0,13,22,2
6.6,7.5,274,1.6,0,14,24,2
4.9,7.4,407,16.3,0,51,120,0
4.9,8.3,603,1,0,4,5,1
5.5,7.4,138,0.8,0,4,6,2
5.5,8.1,625,1.1,0,4,6,2
5,7.3,305,1.7,0,4,12,2
5.6,8.1,552,1.1,0,4,6,2
7.3,7.3,402,2.1,0,4,32,2
7.2,7.3,99,2.2,1,26,57,2
7.2,7.4,102,2.2,1,25,56,2
7.6,7.2,72,1.8,2.56,24,57,2
7.1,7.5,131,2.2,3.2,239,413,2
5.2,2.9,682,7.8,1.5,16,30,3
7.3,7.1,47,1.3,2,15,48,3
7.6,7.2,52,1.2,2,16,36,3
8,6.9,64,1.8,3.38,23,49,3
7.9,7.3,46,1.4,1,12,29,0
7.4,7.2,53,1.9,3,14,32,2
7.7,7.2,55,1.6,3,15,63,2
7.1,6.5,237,3.8,4.56,674,1072,1
7.8,7.2,50,1.6,1.77,20,41,2
7.3,7.3,71,2,2.66,21,47,2
7.3,7,91,1.8,3.3,20,45,2
7.4,7.1,49,1.7,2.44,19,42,2
6.5,7.1,99,2.7,3.56,1967,2722,0
7.5,5.7,50,1.5,2.21,10,23,0
5.8,6.9,68,3.1,4.9,197,463,2
6.9,7.2,44,1.4,2.66,14,33,2
7.8,7.3,93,1.9,2.99,264,444,2
6.6,7,66,2.3,4,29,63,2
7.6,7.1,53,1.7,3,23,53,2
7.8,7,47,1.4,2,8,35,3
7.7,7.4,128,1.6,3.32,25,56,2
7.1,7,54,1.8,2.58,20,43,2
7.4,7,69,1.6,3.3,17,87,3
7.5,7.2,58,1.6,2.25,21,46,2
3.1,7.2,401,21.8,19,22556,31444,0
4.7,7.2,202,13.6,15,13444,20056,0
2.1,7.2,303,37.2,18.2,39444,62333,0
1.8,7.2,394,40.6,15.4,57222,96944,0
7.2,6.9,55,1.7,3.04,26,56,3
7.9,7.1,55,1.2,3.55,23,50,3
6.9,6.9,52,2.2,3.48,1576,45,1
1.9,7,306,34.2,17.9,48278,85667,0
4.5,7.1,196,15.5,11,48611,43333,0
7.2,7.1,107,6.7,5.56,303,476,0
7.5,7,82,2.1,3.02,45,122,2
7.1,7.5,189,1.9,1,28.08823529,129.5714286,2
7,7.6,197,1.8,1,28.08823529,129.5714286,2
7.2,7.9,158,1.9,0.95,28.08823529,129.5714286,2
6.5,7.8,161,1.8,0.99,28.08823529,129.5714286,2
6.6,7.7,165,1.7,0,280,325,2
6.7,7.8,167,4.8,1,440,520,0
6.6,7.7,183,3.7,1.55,415,575,1
7.1,7.8,151,8,0.08,150197.5,919628.2857,0
7.2,7.4,319,0.7,0.18,5,10,3
6.2,8.4,894,9,0.38,140,350,0
2.2,8,1835,17.9,0.86,10478,25478,0
2,7.7,3165,32.3,3.44,11498,15173,0
2.4,7.6,1500,6.2,1.31,3,13,0
5.9,7.2,52,2.1,0.08,1767.558659,90,0
6.1,6.8,408,1.3,0.17,1300,3808,1
5.5,6.9,143,1.3,0.09,4100,11113,0
5.4,7.2,60,1.5,0.08,428,2309,2
5.8,7.2,34,5.3,0.17,855,3322,0
5.9,6.7,125,1.5,0.14,1638,5793,1
6.4,6.7,175,1.3,0.1,772,3636,2
6.2,7.7,39,1.3,0.06,1296,4517,1
6.1,7.8,39,1.5,0.06,1032,5840,1
7.3,6.9,61,0.7,0.09,1430,4388,2
6.8,6.6,71,1.5,0.14,2495,3949,1
7.4,6.5,129,2.3,0.49,5868,16691,0
7,6.8,503,1.6,0.66,965,2404,2
6.3,7.5,31,1.6,0.06,1466,4267,1
7.1,6.8,70,0.8,0.17,716,3567,2
7.3,6.8,69,1.2,0.12,457,2446,2
6.7,6.6,118,1,0.22,1104,3496,2
7.4,6.8,80,1.3,0.06,274,1404,3
4.5,6.6,250,2.4,0.16,1572,5889,1
6.1,6.9,74,1.8,0.19,1074,3937,1
5.9,7.3,44,1.6,0.14,962,2794,1
2.4,6.5,195,4.8,0.35,7980,14217,0
4,6.8,207,1.8,0.34,818,2280,1
5.4,7.6,40,1.6,0.07,290,1330,0
5.3,7.6,41,1.4,0.08,952,2517,1
7,6.9,54,0.8,0.21,667,3059,2
5.9,7.7,44,2.1,0.08,1200,831,1
7.1,6.5,60,1.7,0.13,2926,8163,0
6.9,7.7,99,3.3,0.56,53,123,1
6.6,7.9,123,3.2,0.52,44,104,1
6.6,7.7,220,3.6,0.65,25,77,1
6.8,7.7,219,3.4,0.63,23,75,1
4.8,7.2,5429,8.4,2.08,177,408,0
6.4,8,493,4.2,3.91,17,68,1
6.8,7.6,100,3,0.54,124,295,1
6.7,7.5,316,4.6,0.6,47,132,1
6.9,7.7,84,3.1,0.42,69,168,1
6.9,7.9,312,2.7,1.58,4,107,1
6.8,7.5,146,3,0.6,124,241,0
6.7,7.3,127,2.9,0.59,100,209,2
5.6,6.9,432,4.5,1.72,58,173,1
6.5,7.3,126,3,0.59,132,284,2
7.1,7.5,128,3,0.6,136,297,2
6.4,7.3,129,3.1,0.6,68,191,2
6.9,7.7,129,2.9,0.55,135,268,1
7,7.9,153,2.9,0.55,30,86,1
6.4,7.6,10165,3.7,2.14,5,139,1
6.9,7.7,307,2.8,3.6,4,123,2
6.3,7.7,322,3.5,1.1,4,116,1
6.5,7.5,5835,3.4,1.72,4,126,1
6.3,7.4,9245,4.7,2,4,134,1
6.5,8.1,1907,4,0.55,46,115,1
7,8,1896,3.5,0.64,190,245,1
7,8,206,2.9,0.56,31,74,1
6.8,7.8,239,3.3,0.56,33,77,1
6.4,7.6,152,3.2,0.96,62,142,1
6.7,7.7,146,3,0.89,30,73,1
6.7,7.6,137,2.9,0.76,24,64,2
6.6,7.8,228,3.5,0.57,30,79,1
7,7.7,409,2.4,0.93,4,112,2
6.8,7.6,263,2.9,0.81,4,123,2
6.9,7.5,338,2.3,3.93,4,108,2
7,7.2,79,0.8,0.62,279,637,2
6.6,7,67,1.1,0.53,275,670,2
6.6,7.3,59,0.7,0.57,281,541,2
6.2,7.3,66,0.8,0.55,303,609,2
7.1,7,67,1,0.34,170,538,3
7,6.7,5341,1.1,0.37,158,528,3
6.7,7.3,89,1.1,0.35,1163,2025,1
6.2,7.3,136,1,0.46,296,676,2
7.1,8.1,212,0.9,0.56,524,992,0
6.3,6.3,134,1.2,0.67,224,780,3
7.3,7.2,76,0.6,0.31,468,893,2
7,7.3,11041,0.9,0.29,256,503,2
6.8,7.1,75,0.8,0.5,693,1169,2
7.4,7.2,61,0.7,0.11,54,255,3
1.7,6.6,769,3.4,1.11,556,1717,1
6.1,7.5,14083,1.4,0.25,920,2686,1
6.6,7.2,92,0.8,0.77,332,660,2
6.6,7.2,1348,0.8,1.01,392,810,2
6,6.7,95,1.2,0.29,253,680,2
6.6,6.8,78,1,0.2,275,626,0
0.6,6.7,268,4.1,1.28,400,1308,0
1.8,6.6,82,2,0.39,399,1410,1
7.1,7.2,61,1,0.34,251,608,2
6.6,8,310,1.1,0.54,517,783,1
7,7.1,97,0.8,0.35,45,77,3
7.3,7,51,0.7,0.18,65,258,3
0.5,7.1,1717,21.2,4.41,3317,15833,0
7,7.4,55,0.9,0.32,800,1400,2
