DO,PH,CONDUCTIVITY,BOD,NITRATE_N_NITRITE_N,FECAL_COLIFORM,TOTAL_COLIFORM,WQI
7.4,7.8,244.0,1.9,1.0,20880.0,12473.0,529.7001342028985
7.5,8.0,243.0,1.7,0.9,8780.0,30319.0,267.4256139130435
7.2,8.0,296.0,1.5,0.7,1468.0,4314.0,99.77196811594204
7.5,7.9,194.0,1.0,1.0,2906.0,8559.0,124.8907672463768
7.4,7.9,170.0,0.8,0.9,4948.0,16709.0,170.50644086956524
6.8,7.3,386.0,1.5,0.2,4.0,10.0,56.20816927536232
6.0,7.1,13000.0,1.5,0.4,4.0,10.0,59.3818115942029
6.5,7.4,1063.0,2.0,0.6,177.0,374.0,67.90948347826087
6.8,6.6,63.0,2.9,0.1,11.0,36.0,56.52739594202898
6.6,6.4,101.0,2.5,0.2,13.0,41.0,50.5413631884058
6.6,6.5,136.0,2.5,0.2,13.0,45.0,52.2859431884058
6.7,6.9,226.0,2.2,0.2,12.0,38.0,56.08941623188407
6.7,6.3,72.0,2.7,0.2,9.0,32.0,49.99791623188407
6.7,6.4,61.0,4.6,0.1,10.0,34.0,68.56190289855074
6.6,7.2,1300.0,2.7,0.2,21.0,60.0,66.6445231884058
6.7,7.0,461.0,2.5,0.1,17.0,51.0,60.63514289855073
6.6,6.2,69.0,2.5,0.1,11.0,38.0,47.00652985507247
6.8,6.9,241.0,2.5,0.1,14.0,48.0,58.30269594202898
6.5,6.6,159.0,2.4,0.2,11.0,41.0,53.577810144927525
6.6,6.7,170.0,2.5,0.2,10.0,34.0,55.6967031884058
6.8,7.2,55.0,1.5,0.1,4.0,10.0,54.38841594202899
5.8,7.2,640.0,6.0,4.3,1450.0,4073.0,132.4716455072464
4.8,7.6,1090.0,22.0,3.6,30500.0,52500.0,938.5399217391304
5.5,7.3,705.0,10.0,5.0,2020.0,5433.0,184.0459397101449
5.1,7.4,1375.0,23.7,5.9,27333.0,50333.0,878.5197875362319
5.5,7.4,745.0,10.0,6.1,12167.0,29333.0,415.4177063768117
5.0,7.6,975.0,16.3,6.1,11167.0,21667.0,453.3268211594203
